"Draw","Date","type","VALUE"
"3766","19/5/2022","winning","5"
"3765","16/5/2022","winning","21"
"3764","12/5/2022","winning","15"
"3763","9/5/2022","winning","5"
"3762","5/5/2022","winning","7"
"3761","2/5/2022","winning","12"
"3760","28/4/2022","winning","5"
"3759","25/4/2022","winning","6"
"3758","21/4/2022","winning","13"
"3757","18/4/2022","winning","12"
"3756","14/4/2022","winning","4"
"3755","11/4/2022","winning","2"
"3754","7/4/2022","winning","1"
"3753","4/4/2022","winning","14"
"3752","31/3/2022","winning","1"
"3751","28/3/2022","winning","5"
"3750","24/3/2022","winning","3"
"3749","21/3/2022","winning","1"
"3748","17/3/2022","winning","5"
"3747","14/3/2022","winning","19"
"3746","10/3/2022","winning","1"
"3745","7/3/2022","winning","19"
"3744","3/3/2022","winning","8"
"3743","28/2/2022","winning","1"
"3742","24/2/2022","winning","4"
"3741","21/2/2022","winning","1"
"3740","17/2/2022","winning","1"
"3739","14/2/2022","winning","10"
"3738","11/2/2022","winning","9"
"3737","7/2/2022","winning","1"
"3736","3/2/2022","winning","15"
"3735","31/1/2022","winning","5"
"3734","27/1/2022","winning","7"
"3733","24/1/2022","winning","1"
"3732","21/1/2022","winning","2"
"3731","17/1/2022","winning","4"
"3730","13/1/2022","winning","3"
"3729","10/1/2022","winning","8"
"3728","7/1/2022","winning","3"
"3727","3/1/2022","winning","6"
"3726","30/12/2021","winning","4"
"3725","27/12/2021","winning","3"
"3724","23/12/2021","winning","1"
"3723","20/12/2021","winning","4"
"3722","16/12/2021","winning","6"
"3721","13/12/2021","winning","5"
"3720","9/12/2021","winning","1"
"3719","6/12/2021","winning","7"
"3718","2/12/2021","winning","6"
"3717","29/11/2021","winning","1"
"3716","25/11/2021","winning","6"
"3715","22/11/2021","winning","1"
"3714","18/11/2021","winning","1"
"3713","15/11/2021","winning","23"
"3712","11/11/2021","winning","5"
"3711","8/11/2021","winning","7"
"3710","4/11/2021","winning","7"
"3709","1/11/2021","winning","7"
"3708","28/10/2021","winning","3"
"3707","25/10/2021","winning","4"
"3706","21/10/2021","winning","7"
"3705","18/10/2021","winning","5"
"3704","14/10/2021","winning","10"
"3703","11/10/2021","winning","10"
"3702","7/10/2021","winning","1"
"3701","4/10/2021","winning","10"
"3700","30/9/2021","winning","5"
"3699","27/9/2021","winning","20"
"3698","23/9/2021","winning","9"
"3697","20/9/2021","winning","3"
"3696","16/9/2021","winning","9"
"3695","13/9/2021","winning","6"
"3694","9/9/2021","winning","5"
"3693","6/9/2021","winning","1"
"3692","2/9/2021","winning","3"
"3691","30/8/2021","winning","19"
"3690","26/8/2021","winning","5"
"3689","23/8/2021","winning","5"
"3688","19/8/2021","winning","1"
"3687","16/8/2021","winning","10"
"3686","12/8/2021","winning","2"
"3685","9/8/2021","winning","15"
"3684","5/8/2021","winning","3"
"3683","2/8/2021","winning","12"
"3682","29/7/2021","winning","1"
"3681","26/7/2021","winning","3"
"3680","22/7/2021","winning","1"
"3679","19/7/2021","winning","4"
"3678","15/7/2021","winning","3"
"3677","12/7/2021","winning","18"
"3676","8/7/2021","winning","7"
"3675","5/7/2021","winning","8"
"3674","1/7/2021","winning","4"
"3673","28/6/2021","winning","14"
"3672","24/6/2021","winning","1"
"3671","21/6/2021","winning","7"
"3670","17/6/2021","winning","5"
"3669","14/6/2021","winning","5"
"3668","10/6/2021","winning","1"
"3667","7/6/2021","winning","7"
"3666","3/6/2021","winning","1"
"3665","31/5/2021","winning","14"
"3664","27/5/2021","winning","3"
"3663","24/5/2021","winning","11"
"3662","20/5/2021","winning","7"
"3661","17/5/2021","winning","5"
"3660","13/5/2021","winning","2"
"3659","10/5/2021","winning","6"
"3658","6/5/2021","winning","4"
"3657","3/5/2021","winning","15"
"3656","29/4/2021","winning","2"
"3655","26/4/2021","winning","2"
"3654","22/4/2021","winning","3"
"3653","19/4/2021","winning","8"
"3652","15/4/2021","winning","10"
"3651","12/4/2021","winning","4"
"3650","8/4/2021","winning","7"
"3649","5/4/2021","winning","9"
"3648","1/4/2021","winning","10"
"3647","29/3/2021","winning","14"
"3646","25/3/2021","winning","4"
"3645","22/3/2021","winning","2"
"3644","18/3/2021","winning","2"
"3643","15/3/2021","winning","12"
"3642","11/3/2021","winning","12"
"3641","8/3/2021","winning","8"
"3640","4/3/2021","winning","11"
"3639","1/3/2021","winning","5"
"3638","26/2/2021","winning","21"
"3637","22/2/2021","winning","3"
"3636","18/2/2021","winning","1"
"3635","15/2/2021","winning","9"
"3634","11/2/2021","winning","10"
"3633","8/2/2021","winning","9"
"3632","5/2/2021","winning","8"
"3631","1/2/2021","winning","4"
"3630","28/1/2021","winning","6"
"3629","25/1/2021","winning","8"
"3628","21/1/2021","winning","8"
"3627","18/1/2021","winning","2"
"3626","14/1/2021","winning","12"
"3625","11/1/2021","winning","3"
"3624","7/1/2021","winning","1"
"3623","4/1/2021","winning","4"
"3622","1/1/2021","winning","5"
"3621","28/12/2020","winning","32"
"3620","24/12/2020","winning","5"
"3619","21/12/2020","winning","4"
"3618","17/12/2020","winning","5"
"3617","14/12/2020","winning","6"
"3616","10/12/2020","winning","10"
"3615","7/12/2020","winning","7"
"3614","3/12/2020","winning","1"
"3613","30/11/2020","winning","2"
"3612","26/11/2020","winning","2"
"3611","23/11/2020","winning","1"
"3610","19/11/2020","winning","3"
"3609","16/11/2020","winning","1"
"3608","12/11/2020","winning","9"
"3607","9/11/2020","winning","8"
"3606","5/11/2020","winning","3"
"3605","2/11/2020","winning","3"
"3604","29/10/2020","winning","10"
"3603","26/10/2020","winning","2"
"3602","22/10/2020","winning","11"
"3601","19/10/2020","winning","9"
"3600","15/10/2020","winning","14"
"3599","12/10/2020","winning","1"
"3598","8/10/2020","winning","2"
"3597","5/10/2020","winning","7"
"3596","1/10/2020","winning","7"
"3595","28/9/2020","winning","5"
"3594","24/9/2020","winning","4"
"3593","21/9/2020","winning","13"
"3592","17/9/2020","winning","1"
"3591","14/9/2020","winning","2"
"3590","10/9/2020","winning","15"
"3589","7/9/2020","winning","9"
"3588","3/9/2020","winning","4"
"3587","31/8/2020","winning","12"
"3586","27/8/2020","winning","2"
"3585","24/8/2020","winning","1"
"3584","20/8/2020","winning","6"
